price,locality,property_type,bedrooms,brand_new,furnished_status,builder,project_name,user_type,floor,date_posted,move_in,area_sqft,price_persqft
9091000.0,Nizampet,Apartment,3,New Property,Unfurnished,Sri Gayatri Homes,Gayatri Towers,Builder,,2021-06-21,2021-08-01,1562.0,5820.102432778489
9794000.0,Tellapur,Apartment,3,New Property,Unfurnished,Greenmark Developers,Mayfair Apartments,Builder,,2021-08-11,2021-12-01,1660.0,5900.0
10542063.0,Gachibowli,Apartment,3,New Property,Unfurnished,Aliens Group,Aliens Space Station,Builder,,2021-08-07,2022-02-01,1687.0,6249.0
6451500.0,Nagole,Apartment,2,New Property,Unfurnished,Concrete Infra Projects India LLP,Concrete Avasa,Builder,1,2021-08-14,2021-11-01,1265.0,5100.0
6962500.0,Gundlapochampally,Apartment,3,New Property,Unfurnished,Modi Builders & Realtors Pvt. Ltd.,Sterling Heights,Builder,,2021-08-17,2021-08-01,1670.0,4169.161676646707
8760960.0,Tukkuguda Srisailam Highway,Apartment,3,New Property,Unfurnished,Ramky Estates & Farms Ltd,Greenview Apartments,Builder,,2021-08-10,2022-03-01,1620.0,5408.0
11000000.0,Appa junction,Apartment,3,New Property,Unfurnished,Indis,PBEL City,Builder,,2021-08-03,2023-03-01,1638.0,6715.506715506715
9990000.0,Bachupally,Apartment,3,New Property,Unfurnished,NJR Constructions Private Limited and Sukhii Group,Sukhii 9,Builder,,2021-08-12,2021-08-01,1800.0,5550.0
9500000.0,LB Nagar ,Apartment,2,New Property,Unfurnished,Vasavi Group,Vasavi Sri Nilayam,Builder,,2021-08-17,2021-10-01,1235.0,7692.307692307692
10358520.0,Moosapet ,Apartment,3,New Property,Unfurnished,Cybercity Builders & Developers Pvt. Ltd,ORIANA,Builder,,2021-08-18,2025-12-01,1480.0,6999.0
7808225.0,Bahadurpally,Apartment,3,New Property,Unfurnished,Primark Projects Private Limited,Primarks Destature,Builder,,2021-08-18,2022-12-01,1775.0,4399.0
3820000.0,Kollur,Apartment,2,New Property,Unfurnished,GHR Infra,Mystere,Builder,,2021-08-18,2024-12-01,1195.0,3196.652719665272
13100000.0,Puppalaguda,Apartment,3,New Property,Unfurnished,BRC Infra Pvt. Ltd.,Sri Hemadurga Sivahills,Builder,,2021-07-20,2021-12-01,1870.0,7005.347593582887
12200000.0,Miyapur ,Apartment,3,New Property,Semi-Furnished,Dhivya Shakti Group,Dhivya Shree Shakthi,Builder,6,2021-07-27,2021-08-01,1956.0,6237.218813905931
10048500.0,Lingampally-Serilingampally ,Apartment,3,New Property,Semi-Furnished,Niharika Projects,Niharika Landmark,Builder,,2021-06-17,2021-12-01,1595.0,6300.0
11778000.0,Karmanghat,Apartment,3,New Property,Unfurnished,Orange Realty,Orange Estella,Builder,13,2021-08-03,2023-09-01,1963.0,6000.0
7758500.0,Madinaguda Hafeezpet ,Apartment,2,New Property,Unfurnished,Concrete Infra Projects India LLP,Concrete Vivanta,Builder,,2021-08-06,2021-08-01,1315.0,5900.0
8500000.0,Nallagandla Serilingampally,Apartment,2,New Property,Unfurnished,Sri Himaghna Constructions Pvt Ltd,Diamond Oak,Builder,,2021-08-16,2021-10-01,1317.0,6454.062262718299
11440000.0,Narsingi,Apartment,3,New Property,Furnished,Accurate Developers Pvt. Ltd.,Accurate Wind Chimes,Agent,1,2021-08-17,2021-12-01,1655.0,6912.3867069486405
6423000.0,Adibatla,Apartment,3,New Property,Unfurnished,ELV Projects Private Limited,ELV Cosmopolis,Builder,,2021-08-11,,1685.0,3811.8694362017804
4552400.0,Adibatla,Apartment,2,New Property,Unfurnished,Maram Infra Projects Pvt Ltd,Marams Garlapati Homes,Builder,,2021-08-03,2022-12-01,1198.0,3800.0
8775000.0,Hydershakote,Apartment,3,New Property,Unfurnished,Theme Projects,Fort View,Builder,,2021-08-18,2021-08-01,1950.0,4500.0
6398750.0,Miyapur ,Apartment,2,New Property,Unfurnished,Empire Meadows,Empire Meadows,Builder,,2021-08-10,2021-08-01,1250.0,5119.0
7049844.0,Bachupally,Apartment,3,New Property,Semi-Furnished,Praneeth Group,Praneeth Pranav Town Square,Builder,,2021-08-09,2022-05-01,1356.0,5199.0
7180000.0,Yapral,Apartment,2,New Property,Unfurnished,Om Sree Builders & Developers,,Builder,3,2021-08-18,2023-03-01,1330.0,5398.496240601504
6063701.0,Bachupally,Apartment,2,New Property,Unfurnished,Prop Mission Pvt Ltd,Codename Talk of Hyderabad,Agent,,2021-08-10,2026-03-01,1099.0,5517.471337579618
7900000.0,Malkajgiri,Apartment,2,New Property,Unfurnished,Jain Constructions,,Builder,1,2021-07-19,,1330.0,5939.849624060151
6068700.0,Alwal,Apartment,2,New Property,Unfurnished,,,Builder,1,2021-07-26,2021-09-01,1226.0,4950.0
11270000.0,Kokapet,Apartment,3,New Property,Semi-Furnished,,,Agent,Lower Basement,2021-08-17,2023-11-01,2300.0,4900.0
12579000.0,Kakatiya Hills Nizampet,Apartment,3,New Property,Unfurnished,Sahiti Constructions,Sahiti Karthikeya Panorama,Agent,2,2021-08-18,2023-09-01,1797.0,7000.0
9700000.0,Kondakal,Villa,3,New Property,Semi-Furnished,Itihas Infra,,Agent,,2021-08-16,2024-02-01,2600.0,3730.769230769231
5280000.0,Aminpur,Apartment,2,New Property,Unfurnished,Siri Property Consultants,,Agent,3,2021-08-16,2022-10-01,1200.0,4400.0
